"Louisiana Board of Regents",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Chicago State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Alabama ",0,0,0,,,,,,,,,,,
"Auburn University",32.60242,-85.487341,0.9,place,,,,,"Auburn University",AL,"Lee County",36849,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Maryland",38.970388,-76.941919,0.53,place,,,,,"University Park",MD,"Prince George's County",20782,US,"TIGER/Line® dataset from the US Census Bureau"
"Clayton State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Lynchburg",35.117941,-89.93667,1,street_center,,University,,,Memphis,TN,"Shelby County",38111,US,"TIGER/Line® dataset from the US Census Bureau"
"Western Illinois University",41.477816,-87.683188,0.18,place,,,,,"University Park",IL,"Cook County",60466,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina Chapel Hill",35.969681,-78.934721,1,street_center,,"University Dr",,,Durham,NC,"Durham County",27707,US,"TIGER/Line® dataset from the US Census Bureau"
"Creighton University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Berea College",41.370548,-81.861757,1,place,,,,,Berea,OH,"Cuyahoga County",44017,US,"TIGER/Line® dataset from the US Census Bureau"
"Appalachian State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Joseph’s University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of West Georgia",33.061245,-83.604895,0.18,place,,,,,Wayside,GA,"Jones County",31032,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"Utica College",43.077369,-75.233208,1,place,,,,,Utica,NY,"Oneida County",13501,US,"TIGER/Line® dataset from the US Census Bureau"
"Appalachian State University       ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Central Arkansas",34.12708,-93.056583,1,street_center,,"University Dr",,,Arkadelphia,AR,"Clark County",71923,US,"TIGER/Line® dataset from the US Census Bureau"
"Concordia University Irvine",33.651144,-117.814991,1,street_center,,Concordia,,,Irvine,CA,"Orange County",92612,US,"TIGER/Line® dataset from the US Census Bureau"
"Brenau University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Gwinnett College",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"Francis Marion University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"California State University Long Beach",33.82887,-118.180502,1,street_center,,"California Ave",,,"Long Beach",CA,"Los Angeles County",90807,US,"TIGER/Line® dataset from the US Census Bureau"
"Manhattanville College ",0,0,0,,,,,,,,,,,
"Concord University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Humboldt State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Lynchburg",35.117941,-89.93667,1,street_center,,University,,,Memphis,TN,"Shelby County",38111,US,"TIGER/Line® dataset from the US Census Bureau"
"California University of Pennsylvania",40.046955,-79.894985,1,place,,,,,California,PA,"Washington County",15419,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisiana State University of Alexandria",31.307468,-92.465779,1,street_center,,"Louisiana Ave",,,Alexandria,LA,"Rapides Parish",71301,US,"TIGER/Line® dataset from the US Census Bureau"
"Mississippi State University, College of Education",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Bridgewater College",41.973741,-70.976558,1,place,,,,,Bridgewater,MA,"Plymouth County",02324,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University ",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"Arcadia University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Temple University, Tyler School of Art and Architecture",30.73851,-99.11144,1,place,,,,,Art,TX,"Mason County",76820,US,"TIGER/Line® dataset from the US Census Bureau"
"FSU-Teach Florida State University",0,0,0,,,,,,,,,,,
"Harding University, College of Education",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Kentucky Community & Technical College",0,0,0,,,,,,,,,,,
"NC Central University ",0,0,0,,,,,,,,,,,
"University of South Carolina, Beaufort",32.424353,-80.565343,1,place,,,,,Beaufort,SC,"Beaufort County",29901,US,"TIGER/Line® dataset from the US Census Bureau"
"Providence College",41.82275,-71.414451,1,place,,,,,Providence,RI,"Providence County",02901,US,"TIGER/Line® dataset from the US Census Bureau"
"The College of Wooster ",35.162396,-92.445162,1,place,,,,,Wooster,AR,"Faulkner County",72181,US,"TIGER/Line® dataset from the US Census Bureau"
"Reinhardt University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of New Mexico",32.283428,-106.753336,0.18,place,,,,,"University Park",NM,"Doña Ana County",88003,US,"TIGER/Line® dataset from the US Census Bureau"
"Hope International University",28.052414,-82.560475,1,street_center,,"Hope International Dr",,,Tampa,FL,"Hillsborough County",33625,US,"TIGER/Line® dataset from the US Census Bureau"
"North Central College",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Seton Hall University",27.72759,-82.361013,1,street_center,,"Seton Hall Dr",,,"Sun City Center",FL,"Hillsborough County",33573,US,"TIGER/Line® dataset from the US Census Bureau"
"Lee University School of Music",38.30699,-82.751009,0.8,place,,,,,Music,KY,"Carter County",41168,US,"TIGER/Line® dataset from the US Census Bureau"
"Cumberland University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Louis Community College ",38.631501,-90.19231,1,place,,,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"Middle Tennessee State University",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Dakota",0,0,0,,,,,,,,,,,
"University of Wisconsin-Madison",43.072595,-89.421412,0.9,street_center,,"University Ave",,,Madison,WI,"Dane County",53726,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Montevallo",33.10526,-86.872959,0.8,street_center,,"University Lake Rd",,,Montevallo,AL,"Shelby County",35115,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Hawaii at Manoa",21.970965,-159.714507,0.18,place,,,,,Mana,HI,"Kauai County",96752,US,"TIGER/Line® dataset from the US Census Bureau"
"Governors State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Seattle University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Salem University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Coastal Carolina University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Shippensburg University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"California State University, Fullerton",33.879768,-117.896341,0.33,place,,,,,Fullerton,CA,"Orange County",92831,US,"TIGER/Line® dataset from the US Census Bureau"
"Maryville College",40.277742,-94.860299,1,place,,,,,Maryville,MO,"Nodaway County",64468,US,"TIGER/Line® dataset from the US Census Bureau"
"Mercer University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"CA State University, Stanislaus",0,0,0,,,,,,,,,,,
"Rutgers University Graduate School of Education",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Gwinnett College ",30.976287,-83.871284,0.67,place,,,,,Coolidge,GA,"Thomas County",31738,US,"TIGER/Line® dataset from the US Census Bureau"
"Columbia College",39.206132,-76.887905,1,place,,,,,Columbia,MD,"Howard County",21044,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Carolina at Greensboro ",36.074859,-79.777559,1,street_center,,"University Cir",,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
"Bellarmine University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Mercer University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"The University of Texas at Tyler",32.321937,-95.302223,1,place,,,,,Tyler,TX,"Smith County",75701,US,"TIGER/Line® dataset from the US Census Bureau"
"Bard College",32.78921,-114.55606,1,place,,,,,Bard,CA,"Imperial County",92222,US,"TIGER/Line® dataset from the US Census Bureau"
"The University of New Orleans",29.958304,-90.077,1,place,,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
"Berry College      ",33.65983,-87.60001,1,place,,,,,Berry,AL,"Fayette County",35546,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Alabama",0,0,0,,,,,,,,,,,
"Meredith College",43.65818,-71.50445,1,place,,,,,Meredith,NH,"Belknap County",03253,US,"TIGER/Line® dataset from the US Census Bureau"
"Florida State University ",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisiana State University Baton Rouge",30.590585,-91.170285,1,street_center,,"Louisiana Ave",,,Baker,LA,"East Baton Rouge Parish",70714,US,"TIGER/Line® dataset from the US Census Bureau"
"Humboldt State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Bradley University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Mississippi State University, College of Education ",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Kutztown University of Pennsylvania",40.53907,-75.781445,1,place,,,,,Kutztown,PA,"Berks County",19530,US,"TIGER/Line® dataset from the US Census Bureau"
"Kutztown University of Pennsylvania",40.53907,-75.781445,1,place,,,,,Kutztown,PA,"Berks County",19530,US,"TIGER/Line® dataset from the US Census Bureau"
"Ouachita Baptist University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Ferris State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Bonaventure University-School of Education ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Florida Southwestern State College",40.77893,-77.841359,0.33,place,,,,,"State College",PA,"Centre County",16801,US,"TIGER/Line® dataset from the US Census Bureau"
"Hanover College",43.70701,-72.27741,1,place,,,,,Hanover,NH,"Grafton County",03755,US,"TIGER/Line® dataset from the US Census Bureau"
"Western Illinois University ",41.477816,-87.683188,0.18,place,,,,,"University Park",IL,"Cook County",60466,US,"TIGER/Line® dataset from the US Census Bureau"
"CA State University Chico ",39.746159,-121.840083,1,place,,,,,Chico,CA,"Butte County",95926,US,"TIGER/Line® dataset from the US Census Bureau"
"Hobart and William Smith Colleges",36.731332,-83.33573,1,place,,,,,Smith,KY,"Harlan County",40867,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Arts",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Murray State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Lewis University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Eastern Michigan University",43.556574,-83.994328,0.22,place,,,,,"University Center",MI,"Bay County",48710,US,"TIGER/Line® dataset from the US Census Bureau"
"CSU San Bernardino",34.104794,-117.29215,1,place,,,,,"San Bernardino",CA,"San Bernardino County",92401,US,"TIGER/Line® dataset from the US Census Bureau"
"Thomas College",35.709894,-98.81099,1,place,,,,,Thomas,OK,"Custer County",73669,US,"TIGER/Line® dataset from the US Census Bureau"
"Westfield State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Morgan State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Ramapo College",41.141206,-74.168479,0.8,place,,,,,Ramapo,NY,"Rockland County",10931,US,"TIGER/Line® dataset from the US Census Bureau"
"Rhodes College",41.906231,-93.154445,1,place,,,,,Rhodes,IA,"Marshall County",50234,US,"TIGER/Line® dataset from the US Census Bureau"
"The Citadel, Zucker Family School of Education",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Colorado State University Pueblo",36.809796,-84.708275,0.3,place,,,,,Pueblo,KY,"Wayne County",42633,US,"TIGER/Line® dataset from the US Census Bureau"
"Southeast Missouri State University",0,0,0,,,,,,,,,,,
"Lebanon Valley College",48.124594,-117.762554,1,place,,,,,Valley,WA,"Stevens County",99181,US,"TIGER/Line® dataset from the US Census Bureau"
"Charleston Southern University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"John Carroll University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"John Carroll University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Joseph’s University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina State University (NCSU)",0,0,0,,,,,,,,,,,
"California State University Northridge ",43.212556,-78.825871,0.27,place,,,,,"North Ridge",NY,"Niagara County",14094,US,"TIGER/Line® dataset from the US Census Bureau"
"Texas State University TXST ",0,0,0,,,,,,,,,,,
"College for Creative Studies ",0,0,0,,,,,,,,,,,
"Barton College",44.73663,-72.199084,1,place,,,,,Barton,VT,"Orleans County",05822,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Minnesota Duluth",46.814054,-92.087367,1,street_center,,"University Dr",,,Duluth,MN,"St. Louis County",55812,US,"TIGER/Line® dataset from the US Census Bureau"
"Brandeis University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Anderson University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Illinois at Urbana-Champaign",40.10789,-88.244266,1,place,,,,,Champaign,IL,"Champaign County",61820,US,"TIGER/Line® dataset from the US Census Bureau"
"Oregon State University ",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Wingate University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Concordia University Chicago",41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Siena College",35.29838,-105.392788,0.9,place,,,,,Sena,NM,"San Miguel County",87568,US,"TIGER/Line® dataset from the US Census Bureau"
"Gettysburg College",40.114729,-84.493439,1,place,,,,,Gettysburg,OH,"Darke County",45328,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Wisconsin-Eau Claire",44.796635,-91.506154,1,street_center,,"University Dr",,,"Eau Claire",WI,"Eau Claire County",54701,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California Berkeley",37.869234,-122.289657,1,street_center,,"University Ave",,,Berkeley,CA,"Alameda County",94702,US,"TIGER/Line® dataset from the US Census Bureau"
"National Louis University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"East Tennessee State University ",0,0,0,,,,,,,,,,,
"Austin Peay State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"William Baptist University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina Central University ",0,0,0,,,,,,,,,,,
"Roosevelt University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"CA State University, Stanislaus ",0,0,0,,,,,,,,,,,
"Clarion University of Pennsylvania ",41.21479,-79.38532,1,place,,,,,Clarion,PA,"Clarion County",16214,US,"TIGER/Line® dataset from the US Census Bureau"
"Brock University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Salve Regina University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Medaille College",40.434484,-91.776,0.8,place,,,,,Medill,MO,"Clark County",63455,US,"TIGER/Line® dataset from the US Census Bureau"
"Springfield College",42.170731,-72.604842,1,place,,,,,Springfield,MA,"Hampden County",01101,US,"TIGER/Line® dataset from the US Census Bureau"
"Wheaton College",41.87272,-88.112442,1,place,,,,,Wheaton,IL,"DuPage County",60187,US,"TIGER/Line® dataset from the US Census Bureau"
"Humboldt State University – Art Department",30.73851,-99.11144,1,place,,,,,Art,TX,"Mason County",76820,US,"TIGER/Line® dataset from the US Census Bureau"
"University of the Pacific",47.26455,-122.25012,1,place,,,,,Pacific,WA,"King County",98047,US,"TIGER/Line® dataset from the US Census Bureau"
"Thiel College",0,0,0,,,,,,,,,,,
"Minnesota State University Moorhead",46.842028,-96.735563,1,place,,,,,Moorhead,MN,"Clay County",56560,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Catherine University",28.062,-82.413225,0.27,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of California, Davis",38.544956,-121.746159,1,street_center,,"University Ave",,,Davis,CA,"Yolo County",95616,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Wyoming, College of Education",0,0,0,,,,,,,,,,,
"Calvert County Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Central Oklahoma",0,0,0,,,,,,,,,,,
"Teachers College, Columbia University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Rhode Island (School of Education)",0,0,0,,,,,,,,,,,
"University of Rhode Island (School of Education)",0,0,0,,,,,,,,,,,
"University of Louisiana at Lafayette",30.24171,-91.991044,1,place,,,,,Lafayette,LA,"Lafayette Parish",70501,US,"TIGER/Line® dataset from the US Census Bureau"
"Pathway to Practice NC",35.53971,-79.130864,1,state,,,,,,NC,,,US,"US Census Bureau"
"Ithaca College",41.147084,-96.523011,1,place,,,,,Ithaca,NE,"Saunders County",68033,US,"TIGER/Line® dataset from the US Census Bureau"
"UNC Wilmington",0,0,0,,,,,,,,,,,
"University of North Alabama",0,0,0,,,,,,,,,,,
"CA State University, Stanislaus",0,0,0,,,,,,,,,,,
"Mississippi State University Meridian ",32.381605,-88.663489,1,place,,,,,Meridian,MS,"Lauderdale County",39301,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Texas at Tyler",32.283341,-95.263047,1,street_center,,"University Dr",,,Tyler,TX,"Smith County",75707,US,"TIGER/Line® dataset from the US Census Bureau"
"Northern Virginia Community College",0,0,0,,,,,,,,,,,
"Alverno College ",45.558622,-84.391695,0.8,place,,,,,Alverno,MI,"Cheboygan County",49721,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Kentucky, IHE ",0,0,0,,,,,,,,,,,
"University of Maryland College of Education",38.970388,-76.941919,0.53,place,,,,,"University Park",MD,"Prince George's County",20782,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Wisconsin-River Falls ",44.802351,-92.595365,1,place,,,,,"River Falls",WI,"Pierce County",54022,US,"TIGER/Line® dataset from the US Census Bureau"
"Bowling Green State University        ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Crowder College        ",34.173057,-90.136429,1,place,,,,,Crowder,MS,"Quitman County",38622,US,"TIGER/Line® dataset from the US Census Bureau"
"Aquinas College        ",0,0,0,,,,,,,,,,,
"University of Maryland",38.970388,-76.941919,0.53,place,,,,,"University Park",MD,"Prince George's County",20782,US,"TIGER/Line® dataset from the US Census Bureau"
"Metro RESA ",0,0,0,,,,,,,,,,,
"Metro RESA ",0,0,0,,,,,,,,,,,
"Saint Joseph’s College of Maine ",0,0,0,,,,,,,,,,,
"CA State University, Stanislaus ",0,0,0,,,,,,,,,,,
"Yakima Valley College ",48.124594,-117.762554,1,place,,,,,Valley,WA,"Stevens County",99181,US,"TIGER/Line® dataset from the US Census Bureau"
"University of San Francisco ",37.725102,-122.413452,1,street_center,,"University St",,,"San Francisco",CA,"San Francisco County",94134,US,"TIGER/Line® dataset from the US Census Bureau"
"Houghton College",42.422827,-78.206289,1,place,,,,,Houghton,NY,"Allegany County",14744,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Georgia        ",0,0,0,,,,,,,,,,,
"University of Montevallo ",33.10526,-86.872959,0.8,street_center,,"University Lake Rd",,,Montevallo,AL,"Shelby County",35115,US,"TIGER/Line® dataset from the US Census Bureau"
"The Citadel Zucker Family School of Education ",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Ball State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Morehead State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"CA State University Dominguez Hills ",0,0,0,,,,,,,,,,,
"Washington State University ",35.841039,-90.675602,0.3,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Florida ",0,0,0,,,,,,,,,,,
"Rochester Institute of Technology ",38.380263,-81.767141,1,place,,,,,Institute,WV,"Kanawha County",25112,US,"TIGER/Line® dataset from the US Census Bureau"
"Lehigh Carbon Community College",39.591282,-87.113196,1,place,,,,,Carbon,IN,"Clay County",47837,US,"TIGER/Line® dataset from the US Census Bureau"
"Skidmore College",40.286914,-95.078313,1,place,,,,,Skidmore,MO,"Nodaway County",64487,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Maryland Baltimore County",39.330076,-76.612405,1,street_center,,"University Pl",,,Baltimore,MD,"Baltimore city",21218,US,"TIGER/Line® dataset from the US Census Bureau"
"Salisbury University      ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Minnesota State University Moorhead ",46.842028,-96.735563,1,place,,,,,Moorhead,MN,"Clay County",56560,US,"TIGER/Line® dataset from the US Census Bureau"
"CA State University, Stanislaus ",0,0,0,,,,,,,,,,,
"University of Maryland College of Education ",38.970388,-76.941919,0.53,place,,,,,"University Park",MD,"Prince George's County",20782,US,"TIGER/Line® dataset from the US Census Bureau"
"Bellarmine University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Miami University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Texas ",0,0,0,,,,,,,,,,,
"Hudson Valley Community College ",48.124594,-117.762554,1,place,,,,,Valley,WA,"Stevens County",99181,US,"TIGER/Line® dataset from the US Census Bureau"
"Modesto Junior College",38.978405,-79.949417,1,place,,,,,Junior,WV,"Barbour County",26275,US,"TIGER/Line® dataset from the US Census Bureau"
"BloomBoard, Inc.",0,0,0,,,,,,,,,,,
"Niagara University ",43.13867,-79.03893,1,place,,,,,"Niagara University",NY,"Niagara County",14109,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Michigan-Dearborn ",42.31296,-83.374549,1,street_center,,University,,,Westland,MI,"Wayne County",48185,US,"TIGER/Line® dataset from the US Census Bureau"
"Northern Illinois University ",41.477816,-87.683188,0.18,place,,,,,"University Park",IL,"Cook County",60466,US,"TIGER/Line® dataset from the US Census Bureau"
"Middlesex County College ",0,0,0,,,,,,,,,,,
"City University of New York  ",40.83739,-73.92343,0.6,place,,,,,"University Heights",NY,"Bronx County",10452,US,"TIGER/Line® dataset from the US Census Bureau"
"Ripon College ",37.765177,-121.115411,1,place,,,,,Ripon,CA,"San Joaquin County",95366,US,"TIGER/Line® dataset from the US Census Bureau"
"San Jose State University      ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Western Washington University",47.666487,-122.309849,0.9,place,,,,,University,WA,"King County",98105,US,"TIGER/Line® dataset from the US Census Bureau"
"Valdosta State University ",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Crowley’s Ridge College ",40.905139,-72.888349,1,place,,,,,Ridge,NY,"Suffolk County",11961,US,"TIGER/Line® dataset from the US Census Bureau"
"Alderson Broaddus University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Arkansas",0,0,0,,,,,,,,,,,
"Bureau of Indian Affairs",0,0,0,,,,,,,,,,,
"Southern Illinois University Edwardsville ",38.841819,-89.877841,1,place,,,,,Edwardsville,IL,"Madison County",62025,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Southern Mississippi ",34.365411,-89.53718,1,place,,,,,University,MS,"Lafayette County",38677,US,"TIGER/Line® dataset from the US Census Bureau"
"Winthrop University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Wisconsin Stevens Point ",44.510664,-89.638254,1,place,,,,,"Stevens Point",WI,"Portage County",54481,US,"TIGER/Line® dataset from the US Census Bureau"
