"Louisiana Board of Regents",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"SCALE/Graduate School of Education edTPA",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Kansas State University",0,0,0,,,,,,,,,,,
"NC New Teacher Support Program-East Carolina University",0,0,0,,,,,,,,,,,
"St. Thomas Aquinas College",48.630369,-97.471056,1,place,,,,,"Saint Thomas",ND,"Pembina County",58276,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois College",0,0,0,,,,,,,,,,,
"Austin Peay State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia College & State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"East Carolina University",27.926018,-82.487126,0.9,street_center,,"S Carolina Ave",,,Tampa,FL,"Hillsborough County",33629,US,"TIGER/Line® dataset from the US Census Bureau"
"American College of Education",0,0,0,,,,,,,,,,,
"SCALE/Graduate School of Education edTPA",33.826229,-93.961022,0.8,place,,,,,Schaal,AR,"Howard County",71851,US,"TIGER/Line® dataset from the US Census Bureau"
"Piedmont College",37.680181,-121.921498,1,place,,,,,Piedmont,CA,"Alameda County",94620,US,"TIGER/Line® dataset from the US Census Bureau"
"Cleveland County Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"UAB Regional In Service Centers",39.07977,-86.513329,0.8,place,,,,,Sanders,IN,"Monroe County",47401,US,"TIGER/Line® dataset from the US Census Bureau"
"Charleston Southern University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Southern New Hampshire University",0,0,0,,,,,,,,,,,
"Governors State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southwestern State University",30.70327,-83.02764,0.67,place,,,,,Statenville,GA,"Echols County",31648,US,"TIGER/Line® dataset from the US Census Bureau"
"Union University",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Emporia State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southern University",0,0,0,,,,,,,,,,,
"University of Central Arkansas",34.12708,-93.056583,1,street_center,,"University Dr",,,Arkadelphia,AR,"Clark County",71923,US,"TIGER/Line® dataset from the US Census Bureau"
"Radford University ",28.062,-82.413225,0.8,place,,,,,University,FL,"Hillsborough County",33620,US,"TIGER/Line® dataset from the US Census Bureau"
"Northampton County Public Schools",45.408173,-122.922323,0.8,place,,,,,Scholls,OR,"Washington County",97123,US,"TIGER/Line® dataset from the US Census Bureau"
"University of Tennessee of Tennessee Martin",36.34318,-88.858988,1,street_center,,"University Ct",,,Martin,TN,"Weakley County",38237,US,"TIGER/Line® dataset from the US Census Bureau"
"Greenville College",35.580444,-77.392609,1,place,,,,,Greenville,NC,"Pitt County",27833,US,"TIGER/Line® dataset from the US Census Bureau"
"Southeast/South-Central Educational Cooperative",34.744649,-82.797267,1,place,,,,,Central,SC,"Pickens County",29630,US,"TIGER/Line® dataset from the US Census Bureau"
"Kennesaw State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Southern University",0,0,0,,,,,,,,,,,
"San Jose State University",35.841039,-90.675602,0.9,place,,,,,"State University",AR,"Craighead County",72467,US,"TIGER/Line® dataset from the US Census Bureau"
"University of North Georgia",0,0,0,,,,,,,,,,,
"VA NBCT Network",37.522251,-78.668194,1,state,,,,,,VA,,,US,"US Census Bureau"
