Name,Month,Total
University of Louisiana at Monroe,Jun,2250.0
"University of North Carolina,Charlotte",Jun,375.0
University of North Colorado,Jun,1750.68
University of Southern Mississippi,Jun,2000.0
University of St. Francis,Jun,2500.0
Vitero University,Jun,160.0
Auburn University,Jul,2300.0
Augusta University,Jul,3000.0
Belhaven University,Jul,2650.0
Brock University,Jul,1222.0
"California State University, Chico",Jul,4000.0
"California State University, Stanislaus",Jul,2000.0
Chicago State University,Jul,2500.0
City University of New York,Jul,1700.0
Clayton State University,Jul,2500.0
Delta State University,Jul,1500.0
Duke University,Jul,1920.0
East Carolina University,Jul,1500.0
Lorain County Community College,Jul,525.0
Mississippi State University-Meridian,Jul,1000.0
Montclair State University,Jul,1000.0
Morehead State University,Jul,3500.0
National Louis University,Jul,2200.0
Roosevelt University,Jul,2500.0
Salve Regina University,Jul,1650.0
San Jose State University,Jul,2000.0
Skidmore College,Jul,1850.0
Southeast KCTCS,Jul,1621.0
Southern Adventist University,Jul,2500.0
Southern Illinois University Carbondale,Jul,750.0
Syracuse University,Jul,2750.0
Texas State University,Jul,1850.0
University of Illinois Springfield,Jul,2250.0
"University of Kentucky, IHE Special Education Consortium",Jul,3500.0
University of La Verne,Jul,7000.0
University of Lynchburg,Jul,525.0
University of Maryland,Jul,1470.0
University of North Alabama,Jul,2000.0
University of North Carolina Chapel Hill,Jul,2250.0
Utah Valley University,Jul,6500.0
Western Illinois University,Jul,3000.0
Appalachian State University,Aug,5700.0
Arcadia University,Aug,1800.0
Bard College,Aug,437.0
Bellarmine University,Aug,800.0
Berea College,Aug,2600.0
Berry College,Aug,1650.0
Bradley University,Aug,565.0
Brenau University,Aug,2600.0
Bridgewater College,Aug,2600.0
California State University Long Beach,Aug,2000.0
"California State University, Fullerton",Aug,4000.0
"California State University, Stanislaus",Aug,950.0
California University of Pennsylvania,Aug,8500.0
Coastal Carolina University,Aug,3300.0
Columbia College,Aug,1000.0
Concord University,Aug,717.0
Concordia University Irvine,Aug,550.0
Creighton University,Aug,425.0
Cumberland University,Aug,2510.0
East Carolina University,Aug,8000.0
Ferris State University,Aug,2200.0
Florida SouthWestern State College,Aug,4000.0
Francis Marion University,Aug,2100.0
FSU-Teach Florida State University,Aug,4050.0
Georgia Gwinnett College,Aug,1300.0
Governors State University,Aug,1750.0
Hanover College,Aug,550.0
"Harding University, College of Education",Aug,1375.0
Hope International University,Aug,1500.0
Humboldt State University,Aug,4000.0
Kentucky Community & Technical College,Aug,11350.0
Kutztown University of Pennsylvania,Aug,9000.0
